grid,velocity,T,D,X_H2,X_H,X_O,X_O2,X_OH,X_H2O,X_HO2,X_H2O2,X_AR,X_N2
0.0105292969,14.9977484,1536.74347,0.717287102,0.104713745,0.0333802908,0.00742973925,0.077653378,0.00750112461,0.162253978,0.000148340624,6.51986579e-06,0.606912884,3.88930886e-15
0.0105322266,15.4017374,1579.68402,0.698472593,0.0963198297,0.0352137873,0.00806364943,0.0713880702,0.00841866295,0.172793171,0.000133733629,5.47311058e-06,0.607663623,3.90042936e-15
0.0105351563,15.7731155,1619.13961,0.682027054,0.0888265588,0.0367476544,0.00862907486,0.0655971864,0.0093280159,0.182402983,0.000120569842,4.7497992e-06,0.608343207,4.01554949e-15
0.0105380859,16.1137581,1655.33583,0.667609093,0.0822249565,0.037985495,0.00912475043,0.0603288444,0.0102157872,0.191043252,0.000108819684,4.21557664e-06,0.60896388,3.83924529e-15
0.0105410156,16.4258582,1688.52747,0.654924164,0.0764772244,0.0389418973,0.00955246865,0.0556011638,0.0110711082,0.198717992,9.84266017e-05,3.80037828e-06,0.609535919,3.91730892e-15
0.0105439453,16.7117716,1718.98151,0.643719392,0.0715248647,0.0396392721,0.00991601618,0.0514084232,0.0118856605,0.205465154,8.93100959e-05,3.46612924e-06,0.610067833,4.41917004e-15
0.010546875,16.9738835,1746.96315,0.633779032,0.0672964036,0.0401048529,0.0102202941,0.0477276434,0.0126534939,0.211346176,8.13709761e-05,3.19021579e-06,0.610566575,4.34090983e-15
0.0105498047,17.214502,1772.72535,0.624920284,0.063714034,0.0403681263,0.0104706469,0.0445247674,0.0133706981,0.216436517,7.44985794e-05,2.95800765e-06,0.611037753,3.93030566e-15
0.0105527344,17.4357814,1796.50183,0.616989351,0.0606988598,0.0404588253,0.0106723616,0.041760033,0.0140349174,0.220817862,6.85775732e-05,2.75940262e-06,0.611485804,3.88402116e-15
0.0105585937,17.8265514,1838.76532,0.603464531,0.056134516,0.040209738,0.0109448873,0.0374165116,0.0152007811,0.22770895,5.92166898e-05,2.43899887e-06,0.612322961,4.30677455e-15
0.0105644531,18.1670792,1875.85394,0.592153056,0.0529508191,0.0395868687,0.0110860406,0.0341805191,0.0161801083,0.23286733,5.2168724e-05,2.18669592e-06,0.613093959,4.11996768e-15
0.0105703125,18.4676302,1908.8286,0.582516073,0.05074224,0.0387355524,0.0111254681,0.031772067,0.0169950075,0.236767703,4.68089236e-05,1.98330788e-06,0.61381317,4.24117375e-15
0.0105761719,18.7360244,1938.48805,0.57417151,0.0492055232,0.0377598178,0.011088971,0.0299678381,0.0176702159,0.239773327,4.26608327e-05,1.81646494e-06,0.61448983,4.14722922e-15
0.0105820312,18.9781287,1965.42618,0.566846796,0.048123114,0.03673015,0.0109979303,0.0285985764,0.0182296979,0.242149496,3.93797182e-05,1.67783844e-06,0.615129978,4.00940385e-15
0.0105878906,19.1983124,1990.08267,0.560345681,0.0473432318,0.0356921535,0.0108693992,0.0275401858,0.0186947065,0.244084306,3.67228898e-05,1.56151479e-06,0.615737733,5.009301e-15
0.01059375,19.3998099,2012.7819,0.554525612,0.0467618225,0.0346740897,0.0107165431,0.0267035903,0.0190829746,0.245708929,3.45215805e-05,1.46310984e-06,0.616316066,4.31399326e-15
0.0106054687,19.7541765,2053.05007,0.544578078,0.0459805383,0.0327470402,0.0103676003,0.0255045069,0.019671508,0.248304563,3.11073487e-05,1.30795007e-06,0.617391828,4.37405019e-15
